"","ORIGEN","AÑO_N","MES_N","AÑO","TRIMESTRES","TOTAL_KILOS_BRUTOS","TOTAL_KILOS_NETOS","I_DOLARES","I_PESOS"
"96","41",2005,4,5,2,3739253.00390625,3714308,9604992.90696716,22563659295.25
"97","44",2005,4,5,2,1812671611.28002,1812670089.14,82748248.4482422,193858207636
"98","47",2005,4,5,2,75603196.9546127,73236896.9938736,34906294.589489,82239341220.5781
"99","50",2005,4,5,2,329797.009979248,319100,333195.541748047,783110615.796875
"100","52",2005,4,5,2,708273.170387268,691225.91248703,2229770.07971191,5241476995.73438
"101","54",2005,4,5,2,87066898.8378085,86803826.7139041,9811973.24446726,23086475492.1067
"102","63",2005,4,5,2,4389461.91053575,4351988.17342523,12405062.5665131,29232936758.2637
"103","66",2005,4,5,2,14896754.6085459,14623392.0594417,28425523.4327381,66708260851.6443
"104","68",2005,4,5,2,6997460.10066014,6831173.07182388,30338888.9540811,71228147375.9631
"105","70",2005,4,5,2,43046574,42919446.25,4031649.109375,9442636384
"106","73",2005,4,5,2,4449705.42916739,4401210.74012572,13059829.683661,30714445372.6875
"107","76",2005,4,5,2,142402509.230224,138503120.553304,127280199.805696,298923286900.294
"108","81",2005,4,5,2,769500.5,769466.199996948,1427576,3375813642
"109","85",2005,4,5,2,187.579997062683,160.260000228882,14109.0301513672,33264575.625
"110","88",2005,4,5,2,46822.8604894876,42545.5012646466,1411261.86999512,3311871759.5
"111","91",2005,4,5,2,6976.61985397339,6842.8600769043,48166.8283691406,113074211.5
"112","94",2005,4,5,2,20.7800006866455,20,240,567350.375
"113","05",2005,5,5,2,175610020.72522,163112822.763057,224552654.472179,524912769895.842
"114","08",2005,5,5,2,158229180.038912,156857377.499645,65951820.9885877,154506463107.286
"115","11",2005,5,5,2,43338924.0325105,41326562.6523373,159854630.437716,373877757135.353
"116","13",2005,5,5,2,214382385.094158,212695808.698761,95966500.4461685,224325769221.267
"117","15",2005,5,5,2,11250881.7086894,11232787.5500022,9601950.29572296,22460383389.1953
"118","17",2005,5,5,2,16909297.6501949,15982244.3627761,34925129.5775204,81542946755.9942
"119","18",2005,5,5,2,216,150,3000,7010970
